profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
"Brandon Bordenkircher, MPA",no,96,8,2014,Chicago Teachers Union,https://scholar.google.com/citations?user=rnKfG1IAAAAJ&hl=en
Kelly Baker,no,96,4,2021,"Science Advances 7 (24), eabf6834",https://scholar.google.com/citations?user=HY1RNDIAAAAJ&hl=en
Carolyn T. Pham,no,94,4,2020,"Studia Psychologica 62 (4), 314-334",https://scholar.google.com/citations?user=ZLSPw3YAAAAJ&hl=en
"Grevelin Ulerio, Ph.D.",no,92,9,2020,"Journal of Child and Family Studies 29 (10), 2697-2709",https://scholar.google.com/citations?user=Fy48_QEAAAAJ&hl=en
Milad Sabouri,no,91,8,2009,2009 Sixth International Conference on Information Technolog,https://scholar.google.com/citations?user=BJXsuUEAAAAJ&hl=en
Muheeb Faizan Ghori,no,82,10,2019,"IntRS@ RecSys, 77-85",https://scholar.google.com/citations?user=q_8GT8QAAAAJ&hl=en
Sunny K Park-Johnson,no,82,14,2012,"Heritage Language Journal 12 (2), 132",https://scholar.google.com/citations?user=h9KaSA8AAAAJ&hl=en
Mary Takgbajouah,no,80,23,2022,"Journal of Addictive Diseases 40 (1), 47-55",https://scholar.google.com/citations?user=P3MJ1VUAAAAJ&hl=en
Gwendolyn Yvonne Alexis,no,78,27,2003,"XVIII ISA World Congress of Sociology (July 13-19, 2014)",https://scholar.google.com/citations?user=YQLAm8UAAAAJ&hl=en
James deBettencourt,no,78,17,1975,Northwestern University,https://scholar.google.com/citations?user=VazMJCcAAAAJ&hl=en
Abu Adnan Sadi,no,69,5,2021,"2021 IEEE 12th Annual Ubiquitous Computing, Electronics & Mo",https://scholar.google.com/citations?user=jNtX0U4AAAAJ&hl=en
Helena Lucia Swanson,no,69,5,2021,Journal of Community Psychology,https://scholar.google.com/citations?user=2Qq8YLcAAAAJ&hl=en
Jennifer Schwartz,no,69,17,2002,"Reference & User Services Quarterly, 253-263",https://scholar.google.com/citations?user=CnzrGqEAAAAJ&hl=en
Matt J. Asztalos,no,67,3,2016,"Journal of Macromolecular Science, Part A 53 (11), 664-668",https://scholar.google.com/citations?user=itR6TDkAAAAJ&hl=en
Amanda Barry,no,66,9,2019,"Springer International Publishing, Cham",https://scholar.google.com/citations?user=wCidneAAAAAJ&hl=en
Jaewon Oh,no,66,4,2018,Unpublished manuscript,https://scholar.google.com/citations?user=rFYWBnEAAAAJ&hl=en
Nick Scope,no,66,13,2021,International Conference on Database and Expert Systems Appl,https://scholar.google.com/citations?user=hlQVBgYAAAAJ&hl=en
Redar Tahsin Ismail ChiCho,no,66,5,2017,Journal of Information Technology and Business Management 2 ,https://scholar.google.com/citations?user=LeCCzrEAAAAJ&hl=en
Yunyi Long,no,65,10,2014,the biennial meeting of the Society for Research on Child De,https://scholar.google.com/citations?user=Ry0K5NYAAAAJ&hl=en
Danesh Kumar,no,63,4,2024,"Sarcoma 10, 11-12",https://scholar.google.com/citations?user=FLzqCEYAAAAJ&hl=en
Jason Winslade,no,63,8,2000,"TDR/The Drama Review 44 (2), 84-100",https://scholar.google.com/citations?user=NTScfpQAAAAJ&hl=en
Matthew J. Clark,no,63,4,2012,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 246,https://scholar.google.com/citations?user=uMQkHioAAAAJ&hl=en
